scope,role_id,role_name,priority,kind,name,access,why,link,notes
ALL,ALL,All agents / platform,must,internal-mcp,policy-guard-mcp,policy-enforcement,"Единый least-privilege слой: какие команды, MCP, пути, environments и действия разрешены агенту.",,
ALL,ALL,All agents / platform,must,internal-mcp,release-policy-mcp,ro+gate,"Хранит release constraints, rollout policy, protected env requirements, monitoring windows, rollback rules.",,
ALL,ALL,All agents / platform,must,internal-mcp,repo-registry-mcp,ro,"Разрешает primary_repo, affected_repos, dependencies, environments, required_checks и guidance_scope.",,
ALL,ALL,All agents / platform,must,internal-mcp,runner-capability-mcp,ro,Проверяет network/browser/oauth/webhook lab capabilities и допустимые domains/tools для конкретного раннера.,,
ALL,ALL,All agents / platform,must,internal-mcp,secrets-auth-plane-mcp,metadata-only,"Даёт только aliases/handles, consent state, redirect/callback facts и validation status; никогда не отдаёт raw secrets.",,
ALL,ALL,All agents / platform,must,internal-mcp,temporal-workflow-mcp,scoped-rw,"Доступ к Query/Signal/Update, lookup активных runs и их machine-state без прямого доступа агентов к воркерам.",,
ALL,ALL,All agents / platform,must,platform,Docker MCP Gateway,platform,"Централизует конфигурацию, credentials и access control для множества MCP-серверов.",https://docs.docker.com/ai/mcp-catalog-and-toolkit/mcp-gateway/,
ALL,ALL,All agents / platform,must,platform,MCP Inspector,platform,Нужен для тестирования и отладки каждого MCP до допуска в боевой allowlist.,https://modelcontextprotocol.io/docs/tools/inspector,
ALL,ALL,All agents / platform,must,platform,OpenTelemetry,platform,Единый vendor-neutral стандарт traces/metrics/logs и context propagation для всего отдела.,https://opentelemetry.io/docs/,
ALL,ALL,All agents / platform,must,tool,CodeQL,ci,Базовый SAST и code scanning в GitHub.,https://docs.github.com/en/code-security/concepts/code-scanning/codeql/about-code-scanning-with-codeql,
ALL,ALL,All agents / platform,must,tool,Dependabot security updates,bot-rw,Полезен как security-specific слой поверх или рядом с Renovate.,https://docs.github.com/en/code-security/concepts/supply-chain-security/about-dependabot-security-updates,
ALL,ALL,All agents / platform,must,tool,Dependency graph,ro,Нужен для dependency discovery и impact analysis.,https://docs.github.com/en/code-security/concepts/supply-chain-security/about-the-dependency-graph,
ALL,ALL,All agents / platform,must,tool,Dependency review,ci,"Блокирует merge PR с уязвимыми dependency changes, если workflow сделать required.",https://docs.github.com/en/code-security/tutorials/secure-your-dependencies/customizing-your-dependency-review-action-configuration,
ALL,ALL,All agents / platform,must,tool,Langfuse,platform,"Observability + datasets/evals по агентным трассам, с поддержкой OpenTelemetry.",https://langfuse.com/docs,
ALL,ALL,All agents / platform,must,tool,Promptfoo,platform,CLI для eval/red-team/CI по prompt- и agent-сценариям.,https://www.promptfoo.dev/docs/intro/,
ALL,ALL,All agents / platform,must,tool,Renovate,bot-rw,"Основной двигатель для dependency freshness, scheduling и mass maintenance PRs.",https://docs.renovatebot.com/,
ALL,ALL,All agents / platform,must,tool,Semgrep,ci/local,Быстрый SAST/SCA/secrets и кастомные rules под ваши secure coding policies.,https://semgrep.dev/docs/introduction,
ALL,ALL,All agents / platform,must,tool,Trivy,ci/local,"Vuln/misconfig/secret/license scanning для контейнеров, IaC и filesystem.",https://trivy.dev/docs/latest/,
ALL,ALL,All agents / platform,strong,external-mcp,AWS Documentation / Knowledge / API MCPs,ro/scoped-rw,"Для AWS-heavy контуров: актуальная документация, knowledge и безопасные API operations.",https://awslabs.github.io/mcp/servers/aws-knowledge-mcp-server,
ALL,ALL,All agents / platform,strong,external-mcp,Cloudflare MCP servers,ro/scoped-rw,"Для Cloudflare-heavy контуров: account config, security/performance suggestions, controlled changes.",https://developers.cloudflare.com/agents/model-context-protocol/mcp-servers-for-cloudflare/,
ALL,ALL,All agents / platform,strong,external-mcp,Datadog MCP Server,ro,"Сильный infra/SRE-centric источник alerting, software delivery, feature flags и audit for MCP calls; выбрать как primary, если Datadog — ваш ops source.",https://docs.datadoghq.com/bits_ai/mcp_server/,
ALL,ALL,All agents / platform,strong,external-mcp,Figma MCP Server,ro/scoped-rw,"Критичен для design-driven frontend: design context, variables/styles, Code Connect, write-back to canvas.",https://developers.figma.com/docs/figma-mcp-server/,
ALL,ALL,All agents / platform,strong,external-mcp,GrowthBook MCP,scoped-rw,"Флаги и experiments, если стандартом выбран GrowthBook.",https://docs.growthbook.io/integrations/mcp,
ALL,ALL,All agents / platform,strong,external-mcp,LaunchDarkly MCP,scoped-rw,Feature flags + observability MCP для controlled rollouts.,https://launchdarkly.com/docs/home/getting-started/mcp,
ALL,ALL,All agents / platform,strong,external-mcp,OpenAPI MCP,ro/scoped-rw,Динамический мост от OpenAPI-спеков к вызываемым MCP tools.,https://awslabs.github.io/mcp/servers/openapi-mcp-server,
ALL,ALL,All agents / platform,strong,external-mcp,PostHog feature-flags MCP,scoped-rw,"Флаги + product telemetry, если стандартом выбран PostHog.",https://posthog.com/docs/feature-flags/create-flags-mcp,
ALL,ALL,All agents / platform,strong,external-mcp,Sentry MCP Server,ro,"Сильный app-centric источник issues, releases, performance и RCA; выбрать как primary, если Sentry — ваш app observability source.",https://docs.sentry.io/ai/mcp/,
ALL,ALL,All agents / platform,strong,external-mcp,Slack MCP,ro/scoped-rw,Для incident/release comms и поиска operational context в Slack.,https://slack.com/help/articles/48855576908307-Guide-to-the-Slack-MCP-server,
ALL,ALL,All agents / platform,strong,external-mcp,Stripe MCP,ro/scoped-rw,Сильный provider-specific MCP для payments/billing задач.,https://docs.stripe.com/mcp,
ALL,ALL,All agents / platform,strong,external-mcp,Terraform MCP Server,ro/scoped-rw,"Must-have для IaC-heavy контуров: актуальная Registry-документация, workspace ops и modules.",https://developer.hashicorp.com/terraform/mcp-server,
ALL,ALL,All agents / platform,strong,external-mcp,Unleash MCP,scoped-rw,"Флаги и rollout control, если стандартом выбран Unleash.",https://docs.getunleash.io/integrate/mcp,
ALL,ALL,All agents / platform,strong,tool,Hookdeck or ngrok,local+lab,Webhook tunneling/inspection/replay для интеграций и callback debugging.,https://hookdeck.com/docs/guides/how-to-test-webhooks-locally,
ALL,ALL,All agents / platform,strong,tool,Lighthouse CI,ci,Performance/SEO/best-practices regression checks для web-фронта.,https://github.com/GoogleChrome/lighthouse-ci/blob/main/docs/getting-started.md,
ALL,ALL,All agents / platform,strong,tool,Pa11y,ci/dashboard,Полезен как второй accessibility слой и dashboard для non-dev stakeholders.,https://pa11y.org/,
ALL,ALL,All agents / platform,strong,tool,Postman Collection Runner / Postman CLI,local+ci,Универсальный функциональный API smoke/regression runner и CI executor.,https://learning.postman.com/docs/collections/running-collections/intro-to-collection-runs/,
ALL,ALL,All agents / platform,strong,tool,Schemathesis,ci/local,"Генерирует property-based tests из OpenAPI/GraphQL схем и часто находит edge-case баги, которые ручные тесты пропускают.",https://schemathesis.readthedocs.io/en/stable/,
ALL,ALL,All agents / platform,strong,tool,Storybook + Chromatic,ci,"Для UI component workflows, visual diffing и living docs.",https://storybook.js.org/docs/writing-tests/visual-testing,
ALL,ALL,All agents / platform,strong,tool,Stripe CLI,local+lab,Локальный тестинг Stripe API/webhooks.,https://docs.stripe.com/stripe-cli,
ALL,ALL,All agents / platform,strong,tool,axe-core / Storybook a11y,ci/local,Базовый автоматизированный accessibility слой для UI.,https://storybook.js.org/docs/writing-tests/accessibility-testing,
ALL,ALL,All agents / platform,strong,tool,k6,ci/local,Нагрузочное/reliability тестирование API и web сценариев в release/test контуре.,https://grafana.com/docs/k6/latest/,
ROLE,A00,OrchestratorAgent,must,external-mcp,GitHub MCP Server,ro/scoped-rw,"Читать PR/checks/deploy state и, при политике, запускать limited actions.",https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ROLE,A00,OrchestratorAgent,must,external-mcp,Linear MCP,scoped-rw,Базовый официальный transport к Linear под внутренней обёрткой.,https://linear.app/docs/mcp,
ROLE,A00,OrchestratorAgent,must,internal-mcp,artifact-registry-mcp,rw,"Линкует PR, test reports, review reports, release artifacts.",,
ROLE,A00,OrchestratorAgent,must,internal-mcp,comment-memory-mcp,rw,"Резюме ниток, @ask, decision log.",,
ROLE,A00,OrchestratorAgent,must,internal-mcp,linear-control-mcp,scoped-rw,"State machine, statuses, agent sessions, comments, externalUrls.",,
ROLE,A00,OrchestratorAgent,must,internal-mcp,release-policy-mcp,ro+gate,Проверка human gates и deploy constraints.,,
ROLE,A00,OrchestratorAgent,must,internal-mcp,repo-registry-mcp,ro,Маршрутизация issue -> repo/project/env/checks.,,
ROLE,A00,OrchestratorAgent,must,internal-mcp,runner-capability-mcp,ro,Нельзя запускать integration-build без подходящего раннера.,,
ROLE,A00,OrchestratorAgent,must,internal-mcp,temporal-workflow-mcp,scoped-rw,Запуск/остановка/сигналы/queries для workflows.,,
ROLE,A00,OrchestratorAgent,must,platform,OpenTelemetry + Langfuse,platform,"Трассировка handoff latency, rework loops и stuck issues.",https://langfuse.com/docs,
ROLE,A00,OrchestratorAgent,strong,external-mcp,Sentry MCP / Datadog MCP,ro,Корреляция workflow state с prod signals при hotfix/release/monitoring.,https://docs.sentry.io/ai/mcp/,
ROLE,A00,OrchestratorAgent,strong,external-mcp,Slack MCP,ro/scoped-rw,Статусы и инцидентные уведомления в общий operational layer.,https://slack.com/help/articles/48855576908307-Guide-to-the-Slack-MCP-server,
ROLE,A01,IntakeAgent,must,external-mcp,Linear MCP,scoped-rw,Официальный слой для triage operations.,https://linear.app/docs/mcp,
ROLE,A01,IntakeAgent,must,internal-mcp,comment-memory-mcp,ro,near-duplicate detection с учётом comment history.,,
ROLE,A01,IntakeAgent,must,internal-mcp,duplicate-search-mcp,ro,Поиск похожих issues/PR/incidents по semantic similarity.,,Новый внутренний сервис; очень окупается.
ROLE,A01,IntakeAgent,must,internal-mcp,knowledge-service-mcp,ro,Быстрая проверка linked docs и root-note контекста.,,
ROLE,A01,IntakeAgent,must,internal-mcp,linear-control-mcp,scoped-rw,Чтение новых задач/комментариев и выставление triage labels/status.,,
ROLE,A01,IntakeAgent,must,internal-mcp,repo-registry-mcp,ro,"Определение primary_repo, project и service dependencies.",,
ROLE,A01,IntakeAgent,strong,external-mcp,GitHub MCP Server,ro,Проверка репо/PR контекста и existing work.,https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ROLE,A01,IntakeAgent,strong,external-mcp,OpenAPI MCP,ro,"Полезен, когда Intake должен понять, что задача integration/API-driven.",https://awslabs.github.io/mcp/servers/openapi-mcp-server,
ROLE,A02,ContextAgent,must,external-mcp,GitHub MCP Server,ro,"Читает repo guidance, recent PRs, CODEOWNERS, workflows.",https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ROLE,A02,ContextAgent,must,external-mcp,Linear MCP,ro,Тянет issue/project/milestone context.,https://linear.app/docs/mcp,
ROLE,A02,ContextAgent,must,internal-mcp,artifact-registry-mcp,ro,Достаёт SPEC/ADR/PLAN/PR/reports.,,
ROLE,A02,ContextAgent,must,internal-mcp,comment-memory-mcp,ro,Каноническая история комментариев и решений.,,
ROLE,A02,ContextAgent,must,internal-mcp,knowledge-service-mcp,ro,Главный источник context packs из Obsidian/docs.,,
ROLE,A02,ContextAgent,must,internal-mcp,repo-registry-mcp,ro,repo/dependency/environment resolution.,,
ROLE,A02,ContextAgent,strong,external-mcp,AWS / Cloudflare docs MCP,ro,Для infra-heavy contexts.,https://awslabs.github.io/mcp/servers/aws-documentation-mcp-server,
ROLE,A02,ContextAgent,strong,external-mcp,Figma MCP Server,ro,Для frontend issues добавляет design context и variables/styles.,https://developers.figma.com/docs/figma-mcp-server/,
ROLE,A02,ContextAgent,strong,external-mcp,Google MCP Toolbox for Databases,ro,Для data-heavy issues достаёт schema/table facts.,https://googleapis.github.io/genai-toolbox/getting-started/introduction/,
ROLE,A02,ContextAgent,strong,external-mcp,Sentry MCP / Datadog MCP,ro,"Для bug/hotfix задач нужен runtime context, а не только docs.",https://docs.sentry.io/ai/mcp/,
ROLE,A03,SpecAgent,must,external-mcp,GitHub MCP Server,ro,Проверка repo-local guidance и текущих contracts/docs.,https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ROLE,A03,SpecAgent,must,external-mcp,Linear MCP,scoped-rw,"Обновление issue contract, questions, summaries.",https://linear.app/docs/mcp,
ROLE,A03,SpecAgent,must,internal-mcp,artifact-registry-mcp,rw,Публикация SPEC drafts/final.,,
ROLE,A03,SpecAgent,must,internal-mcp,comment-memory-mcp,ro,Учитывает решения и open questions из thread.,,
ROLE,A03,SpecAgent,must,internal-mcp,knowledge-service-mcp,ro,SPEC должен опираться на канонический docs pack.,,
ROLE,A03,SpecAgent,must,internal-mcp,repo-registry-mcp,ro,Правильная фиксация primary/affected repos.,,
ROLE,A03,SpecAgent,strong,external-mcp,Figma MCP Server,ro,"Для UI specs: flows, components, states.",https://developers.figma.com/docs/figma-mcp-server/,
ROLE,A03,SpecAgent,strong,external-mcp,Google MCP Toolbox for Databases,ro,Для data contracts и verification path.,https://googleapis.github.io/genai-toolbox/getting-started/introduction/,
ROLE,A03,SpecAgent,strong,external-mcp,OpenAPI MCP,ro,Для API/integration specs даёт структуру реального surface.,https://awslabs.github.io/mcp/servers/openapi-mcp-server,
ROLE,A04,ArchitectAgent,must,external-mcp,GitHub MCP Server,ro,Читает codebase and workflow constraints.,https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ROLE,A04,ArchitectAgent,must,external-mcp,Google MCP Toolbox for Databases,ro,Нужно видеть schema/data coupling для risky changes.,https://googleapis.github.io/genai-toolbox/getting-started/introduction/,
ROLE,A04,ArchitectAgent,must,external-mcp,Sentry MCP / Datadog MCP,ro,Архитектурные решения без runtime signals часто ошибочны.,https://docs.sentry.io/ai/mcp/,
ROLE,A04,ArchitectAgent,must,internal-mcp,artifact-registry-mcp,rw,Публикация ADRs и architectural options.,,
ROLE,A04,ArchitectAgent,must,internal-mcp,knowledge-service-mcp,ro,ADR должен опираться на existing architecture knowledge.,,
ROLE,A04,ArchitectAgent,must,internal-mcp,repo-registry-mcp,ro,Видит cross-repo and service boundaries.,,
ROLE,A04,ArchitectAgent,strong,external-mcp,Feature-flag MCP,ro,Помогает проектировать safe rollout strategy заранее.,https://launchdarkly.com/docs/home/getting-started/mcp,
ROLE,A04,ArchitectAgent,strong,external-mcp,OpenAPI MCP,ro,Нужно для API boundary и contract decomposition.,https://awslabs.github.io/mcp/servers/openapi-mcp-server,
ROLE,A04,ArchitectAgent,strong,external-mcp,Terraform MCP / AWS docs / Cloudflare MCP,ro,Для infra/security/perf architecture decisions.,https://developer.hashicorp.com/terraform/mcp-server,
ROLE,A05,PlanAgent,must,external-mcp,GitHub MCP Server,ro,"Видит repo boundaries, workflows, CODEOWNERS.",https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ROLE,A05,PlanAgent,must,external-mcp,Linear MCP,scoped-rw,"Создание и редактирование projects, milestones, sub-issues.",https://linear.app/docs/mcp,
ROLE,A05,PlanAgent,must,internal-mcp,artifact-registry-mcp,rw,Хранит plan artifacts и decomposition outputs.,,
ROLE,A05,PlanAgent,must,internal-mcp,knowledge-service-mcp,ro,План должен знать docs-driven constraints.,,
ROLE,A05,PlanAgent,must,internal-mcp,linear-control-mcp,scoped-rw,"Разбиение на sub-issues, milestones, dependencies.",,
ROLE,A05,PlanAgent,must,internal-mcp,repo-registry-mcp,ro,Multi-repo decomposition и required checks.,,
ROLE,A05,PlanAgent,strong,external-mcp,Sentry MCP / Datadog MCP,ro,Для hotfix/reliability plans.,https://docs.sentry.io/ai/mcp/,
ROLE,A05,PlanAgent,strong,tool,Dependency graph,ro,Помогает учитывать transitive blast radius в плане.,https://docs.github.com/en/code-security/concepts/supply-chain-security/about-the-dependency-graph,
ROLE,A06,BuildAgent-Backend,must,external-mcp,GitHub MCP Server,scoped-rw,Основной code/PR surface.,https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ROLE,A06,BuildAgent-Backend,must,external-mcp,Google MCP Toolbox for Databases,ro/nonprod-write,DB-aware backend changes и safe local validation.,https://googleapis.github.io/genai-toolbox/getting-started/introduction/,
ROLE,A06,BuildAgent-Backend,must,external-mcp,OpenAPI MCP,ro,Контрактная работа с APIs.,https://awslabs.github.io/mcp/servers/openapi-mcp-server,
ROLE,A06,BuildAgent-Backend,must,internal-mcp,artifact-registry-mcp,rw,"changed-files summary, build reports, PR notes.",,
ROLE,A06,BuildAgent-Backend,must,internal-mcp,github-control-mcp,scoped-rw,"Repo-scoped coding, PR drafting, checks awareness.",,
ROLE,A06,BuildAgent-Backend,must,internal-mcp,knowledge-service-mcp,ro,Repo guidance и docs-driven constraints.,,
ROLE,A06,BuildAgent-Backend,must,tool,CodeQL,ci,Security/code scanning baseline.,https://docs.github.com/en/code-security/concepts/code-scanning/codeql/about-code-scanning-with-codeql,
ROLE,A06,BuildAgent-Backend,must,tool,Postman CLI,local+ci,API smoke/regression прямо из agent loop.,https://learning.postman.com/docs/postman-cli/postman-cli-run-collection/,
ROLE,A06,BuildAgent-Backend,must,tool,Semgrep,ci/local,Быстрые локальные и CI security checks.,https://semgrep.dev/docs/introduction,
ROLE,A06,BuildAgent-Backend,strong,external-mcp,AWS / Cloudflare docs MCP,ro,Если backend тесно завязан на облачный stack.,https://awslabs.github.io/mcp/servers/aws-documentation-mcp-server,
ROLE,A06,BuildAgent-Backend,strong,external-mcp,Sentry MCP / Datadog MCP,ro,Bugfix loop и hotfixes.,https://docs.sentry.io/ai/mcp/,
ROLE,A06,BuildAgent-Backend,strong,tool,Schemathesis,ci/local,Нужен для API-first repos.,https://schemathesis.readthedocs.io/en/stable/,
ROLE,A06,BuildAgent-Backend,strong,tool,Trivy,ci/local,Если backend repo билдит контейнеры или имеет IaC.,https://trivy.dev/docs/latest/,
ROLE,A07,BuildAgent-Frontend,must,external-mcp,Figma MCP Server,ro,"Design context, variables, styles, Code Connect.",https://developers.figma.com/docs/figma-mcp-server/,
ROLE,A07,BuildAgent-Frontend,must,external-mcp,Playwright MCP,controlled-rw,"E2E, UX states, bug repro, smoke.",https://github.com/microsoft/playwright-mcp,
ROLE,A07,BuildAgent-Frontend,must,internal-mcp,github-control-mcp,scoped-rw,"UI code changes, PRs, checks.",,
ROLE,A07,BuildAgent-Frontend,must,internal-mcp,knowledge-service-mcp,ro,Repo guidance + docs.,,
ROLE,A07,BuildAgent-Frontend,must,tool,Lighthouse CI,ci,Performance and best-practices regressions.,https://github.com/GoogleChrome/lighthouse-ci/blob/main/docs/getting-started.md,
ROLE,A07,BuildAgent-Frontend,must,tool,Storybook + Chromatic,ci,Компонентные living docs и visual regression.,https://storybook.js.org/docs/writing-tests/visual-testing,
ROLE,A07,BuildAgent-Frontend,must,tool,axe-core / Storybook a11y,ci/local,Базовый accessibility gate.,https://storybook.js.org/docs/writing-tests/accessibility-testing,
ROLE,A07,BuildAgent-Frontend,strong,external-mcp,PostHog / LaunchDarkly / GrowthBook / Unleash MCP,scoped-rw,"UI rollouts, experiments, kill-switches.",https://posthog.com/docs/feature-flags/create-flags-mcp,
ROLE,A07,BuildAgent-Frontend,strong,external-mcp,Sentry MCP / Datadog MCP,ro,Frontend errors and rollout feedback.,https://docs.sentry.io/ai/mcp/,
ROLE,A07,BuildAgent-Frontend,strong,tool,Pa11y,ci/dashboard,Второй accessibility слой и dashboard для non-engineers.,https://pa11y.org/,
ROLE,A08,BuildAgent-Integrations,must,external-mcp,OpenAPI MCP,ro/scoped-rw,Provider contract execution surface.,https://awslabs.github.io/mcp/servers/openapi-mcp-server,
ROLE,A08,BuildAgent-Integrations,must,external-mcp,Playwright MCP,controlled-rw,Dashboard/browser flows around integrations.,https://github.com/microsoft/playwright-mcp,
ROLE,A08,BuildAgent-Integrations,must,external-mcp,Sentry MCP / Datadog MCP,ro,"Observe retries, webhook failures, rate limits.",https://docs.sentry.io/ai/mcp/,
ROLE,A08,BuildAgent-Integrations,must,internal-mcp,artifact-registry-mcp,rw,"failure-mode notes, validation reports, docs artifacts.",,
ROLE,A08,BuildAgent-Integrations,must,internal-mcp,github-control-mcp,scoped-rw,"Integration code lives in repos, not in auth plane.",,
ROLE,A08,BuildAgent-Integrations,must,internal-mcp,secrets-auth-plane-mcp,metadata-only,"Получает aliases/handles, never raw creds.",,
ROLE,A08,BuildAgent-Integrations,must,tool,CodeQL,ci,Security baseline.,https://docs.github.com/en/code-security/concepts/code-scanning/codeql/about-code-scanning-with-codeql,
ROLE,A08,BuildAgent-Integrations,must,tool,Hookdeck or ngrok,lab,Webhook handler development loop.,https://hookdeck.com/docs/guides/how-to-test-webhooks-locally,
ROLE,A08,BuildAgent-Integrations,must,tool,Postman CLI,local+ci,Deterministic integration request suites.,https://learning.postman.com/docs/postman-cli/postman-cli-run-collection/,
ROLE,A08,BuildAgent-Integrations,must,tool,Semgrep,ci/local,"Secret misuse, auth mistakes, webhook hardening checks.",https://semgrep.dev/docs/introduction,
ROLE,A08,BuildAgent-Integrations,strong,external-mcp,Stripe MCP / Slack MCP / provider-specific MCPs,ro/scoped-rw,Включать по provider family.,https://docs.stripe.com/mcp,
ROLE,A08,BuildAgent-Integrations,strong,tool,Schemathesis,ci/local,"Полезен, когда у провайдера есть качественный spec.",https://schemathesis.readthedocs.io/en/stable/,
ROLE,A09,BuildAgent-DataMigration,must,external-mcp,Feature-flag MCP,scoped-rw,Dark-launch / kill switch / staged activation для risky migrations.,https://launchdarkly.com/docs/home/getting-started/mcp,
ROLE,A09,BuildAgent-DataMigration,must,external-mcp,Google MCP Toolbox for Databases,ro/nonprod-write,"Schema inspection, safe query execution, validation.",,
ROLE,A09,BuildAgent-DataMigration,must,external-mcp,Sentry MCP / Datadog MCP,ro,Detect data regressions after rollout.,https://docs.sentry.io/ai/mcp/,
ROLE,A09,BuildAgent-DataMigration,must,internal-mcp,github-control-mcp,scoped-rw,Migration code and rollout docs in repo.,,
ROLE,A09,BuildAgent-DataMigration,must,internal-mcp,migration-control-mcp,nonprod-write/prod-read,"Dry-runs, chunking, progress, checksums, reconciliation.",,
ROLE,A09,BuildAgent-DataMigration,must,internal-mcp,repo-registry-mcp,ro,affected services / environments.,,
ROLE,A09,BuildAgent-DataMigration,strong,tool,Postman CLI / Schemathesis,ci/local,Если миграция задевает API behavior.,https://learning.postman.com/docs/postman-cli/postman-cli-run-collection/,
ROLE,A09,BuildAgent-DataMigration,strong,tool,k6,ci/local,Backfill/perf impact and threshold testing.,https://grafana.com/docs/k6/latest/,
ROLE,A10,BuildAgent-InfraIaC,must,external-mcp,Terraform MCP Server,ro/scoped-rw,Актуальные provider/module/policy данные и workspace ops.,https://developer.hashicorp.com/terraform/mcp-server,
ROLE,A10,BuildAgent-InfraIaC,must,internal-mcp,github-control-mcp,scoped-rw,IaC and workflow changes in repo.,,
ROLE,A10,BuildAgent-InfraIaC,must,internal-mcp,release-policy-mcp,ro+gate,Environment policies and deployment constraints.,,
ROLE,A10,BuildAgent-InfraIaC,must,tool,CodeQL,ci,Проверки для GitHub Actions и repo automation code.,https://docs.github.com/en/code-security/concepts/code-scanning/codeql/about-code-scanning-with-codeql,
ROLE,A10,BuildAgent-InfraIaC,must,tool,Semgrep,ci/local,Custom policies по IaC/config/security.,https://semgrep.dev/docs/introduction,
ROLE,A10,BuildAgent-InfraIaC,must,tool,Trivy,ci/local,Misconfig/vuln scanning для Terraform/K8s/Docker и др.,https://trivy.dev/docs/latest/,
ROLE,A10,BuildAgent-InfraIaC,strong,external-mcp,AWS docs/knowledge/API MCPs,ro/scoped-rw,Если ваш IaC primarily AWS.,https://awslabs.github.io/mcp/servers/aws-knowledge-mcp-server,
ROLE,A10,BuildAgent-InfraIaC,strong,external-mcp,Cloudflare MCP servers,ro/scoped-rw,Если ваш edge/network stack в Cloudflare.,https://developers.cloudflare.com/agents/model-context-protocol/mcp-servers-for-cloudflare/,
ROLE,A10,BuildAgent-InfraIaC,strong,external-mcp,Datadog MCP / Sentry MCP,ro,Видеть последствия infra changes.,https://docs.datadoghq.com/bits_ai/mcp_server/,
ROLE,A10,BuildAgent-InfraIaC,strong,platform,Docker MCP Gateway,platform,"Удобен для platform-команды, которая обслуживает MCP layer.",https://docs.docker.com/ai/mcp-catalog-and-toolkit/mcp-gateway/,
ROLE,A11,TestAgent,must,external-mcp,Playwright MCP,controlled-rw,E2E/smoke/browser checks.,https://github.com/microsoft/playwright-mcp,
ROLE,A11,TestAgent,must,internal-mcp,artifact-registry-mcp,rw,Сохраняет test evidence и matrices.,,
ROLE,A11,TestAgent,must,internal-mcp,ci-verification-mcp,rw,"Единая оркестрация verification_path, сбор reports и verdicts.",,Новый внутренний сервис поверх CI/test runners.
ROLE,A11,TestAgent,must,tool,Postman CLI / Newman,ci/local,Deterministic API workflow suites.,https://learning.postman.com/docs/postman-cli/postman-cli-run-collection/,
ROLE,A11,TestAgent,must,tool,Schemathesis,ci/local,API property-based/negative testing.,https://schemathesis.readthedocs.io/en/stable/,
ROLE,A11,TestAgent,must,tool,axe-core / Storybook a11y,ci/local,Accessibility as part of verification_path.,https://storybook.js.org/docs/writing-tests/accessibility-testing,
